,ticker,price,trailing_eps,pe,future_price,upside,expected_5y_cagr,avg_roe,avg_retained,eps_cagr,percent_growth,equity,long_term_debt,debt_to_equity,avg_eps,sd_eps,earnings_vol,conservatively_financed,shares_trend,buyback_flag,quality_pass,score
241,COF,223.75999450683594,11.61,19.273040009202063,526.4477373918984,1.3527339574358779,0.18662792432002706,0.11006904836974056,0.8528310170334159,0.2229711594659627,0.09387029846506609,60784000000.0,44989000000.0,0.7401454330086865,14.76,7.353945879594165,0.4982348156906616,No,Distributing More,0.0,False,0.5527888446215139
242,PPG,110.72000122070312,4.77,23.211740297841327,215.21505825690463,0.9437776001095488,0.14216622793305622,0.17946981133561238,0.6871040883421184,0.016372051015417943,0.12331444110268794,6785000000.0,4876000000.0,0.7186440677966102,5.004,0.638329068741194,0.12756376273804837,No,Stagnant,0.0,False,0.551195219123506
243,EFX,256.25,4.88,52.510245901639344,520.3881777011586,1.0307831324923264,0.15221283710779798,0.1501054193569766,0.7624156886364938,0.033341837438001454,0.11444272666711901,4796900000.0,4322800000.0,0.9011653359461319,5.08,0.7102957130660441,0.1398219907610323,No,Distributing More,0.0,False,0.5499003984063745
244,FDX,229.5500030517578,16.96,13.534787915787605,466.8134917278385,1.033602637864412,0.15253260218499443,0.16497836160241705,0.7633435946882274,0.36339451186747596,0.12593517559136327,28074000000.0,19151000000.0,0.6821614305050937,14.2741026,4.984090685798267,0.3491701597968244,No,Stagnant,0.0,False,0.5462151394422311
245,RF,27.15999984741211,1.94,13.999999921346449,47.49283372222451,0.7486315901710057,0.11825194954229667,0.12469876458730847,0.7289850212546662,0.17149685305381124,0.09090353155310969,16164000000.0,5993000000.0,0.37076218757733237,1.9759999999999998,0.5094938664989009,0.257841025556124,No,Buy Back,1.0,False,0.545617529880478
246,UHS,191.72000122070312,17.16,11.172494243630718,295.67345887624646,0.5422149853622982,0.09050832097101003,0.14288613142057952,0.9472164213010442,0.11606769920734727,0.13534409005775203,6666207000.0,4464482000.0,0.6697184770889952,11.958000000000002,2.7530303303814145,0.23022498163417077,No,Buy Back,1.0,False,0.5438247011952191
247,MGM,34.54999923706055,2.42,14.276859188867995,56.63334966870906,0.6391707936120732,0.10388756576436275,0.17987361084625134,0.9863424488610575,,0.1774169778075724,3023481000.0,6362098000.0,2.104229528811327,1.916,2.014642400030338,1.0514835073227233,No,Buy Back,1.0,False,0.5412350597609562
248,GPC,141.27999877929688,6.49,21.768875004514154,247.74471229783893,0.7535724408156164,0.1188831724780135,0.2136003329836403,0.5337394229358268,,0.11400691846558862,4337407000.0,3742640000.0,0.8628749849852688,6.0600000000000005,3.3385326117921927,0.550912972242936,No,Buy Back,1.0,False,0.5366533864541833
249,SOLV,73.38999938964844,2.77,26.494584617201603,136.28976125583142,0.8570617575867552,0.13178848055963432,0.15007955927806832,1.0,-0.1950660114187066,0.15007955927806832,2959000000.0,7810000000.0,2.6394052044609664,5.9261756,2.1906950382196606,0.36966421282212103,No,Distributing More,0.0,False,0.5339641434262948
250,GS,780.0599975585938,41.07,18.99342579884572,1594.676127823518,1.0442993267370242,0.1537425165935098,0.14596680798749095,0.8240473243899993,0.13280997205037615,0.1202835575718407,108743000000.0,249869000000.0,2.297793880985443,35.9460002,13.674175431140268,0.3804088175334809,No,Distributing More,0.0,False,0.52699203187251
