symbol,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,sector,revenue_growth,eps_growth,revenue_ttm,gross_margin,gross_margin_trend,fcf_ttm,fcf_margin,fcf_yield,net_debt,net_debt_to_ebitda,ps_ratio,ev_to_ebitda,inst_percent,inst_trending_up,dilution_rate,market_rel_strength,sector_rel_strength
KDP,27.97,28.195,27.2,27.967599999999997,30.244975,0.6285714285714283,290443678.222,0.8565324425332392,22.563676633444075,0.013773106197897844,0.023792093704245953,0.04678143712574845,Consumer Defensive,,5.454545454545454,16174000000.0,0.5434277751973989,-0.005644196419716363,1599000000.0,0.09886237170767899,0.04207942248496562,17034000000.0,3.962316994827835,2.3494232066279213,12.801482531259513,0.93741995,True,,0.02914514325639006,-0.039605538045233216
KEX,120.68,122.31,119.65,116.8418,105.17065000000001,3.499735714285715,119345012.2145,0.8032907536520714,8.700257224996216,-0.060782940306638666,0.03013230900554853,0.13581176470588252,Industrials,,0.263157894736842,3314590000.0,0.25689510894082723,-0.0019103513910967984,291268000.0,0.08787451841705912,0.04325370218473911,1205473000.0,1.6004829464224641,2.031606867817739,10.541008554935594,1.03144,True,,0.11817547083652413,0.014918627879198967
KEY,22.34,22.455,22.0225,20.4854,18.185975,0.5175285714285717,346646535.36399996,1.1056447923742747,0.5121353818748539,0.041006523765144465,0.04539073467477772,0.2751141552511416,Financial Services,,0.3030303030303029,6142000000.0,,,3132000000.0,0.5099316183653533,0.12717419207674807,10318000000.0,,4.009709910778248,,0.91528,True,,0.2574778613817832,0.2277188379896559
KEYS,227.16,228.0,222.42,207.00420000000003,175.3086,5.935571428571431,230505354.60800004,1.2210124433069707,0.3684210526315804,0.04287944174088709,0.08782683650991285,0.22227602905569,Technology,,0.3711340206185568,5375000000.0,0.6124031007751938,-0.01155764181713781,1281000000.0,0.23832558139534885,0.032820926261672115,905000000.0,0.7454695222405272,7.261391086139535,32.895368276771,0.92712,True,,0.2046397351863316,0.22384948792734913
KHC,23.87,24.08,23.27,24.1542,26.08335,0.7171428571428569,394175466.323,1.03920554072908,28.425787106446776,0.0071729957805908295,0.0042069835927640575,-0.011184755592377749,Consumer Defensive,,-0.7045454545454546,25164000000.0,0.31906365239698575,-0.023976871457738247,3631000000.0,0.14429343506596726,0.12851341447016962,19078000000.0,3.1764901087927515,1.1227888984263232,7.880762376167568,0.61516,True,,-0.028821049461736137,-0.09757173076335941
KIM,20.9,21.04,20.72,20.4504,21.099425,0.41464285714285687,118722740.93399999,1.0219238137691504,9.24880590534087,-0.0019102196752628364,0.037735849056603765,0.023005384238864446,Real Estate,,-0.1739130434782609,2123057000.0,0.6939840742282047,0.005029281976572708,1101185000.0,0.5186789615163417,0.07780368871538422,8186766000.0,6.2993147257691655,6.666508620352633,17.189644453590855,0.98265,True,,0.005369090369506058,0.02111449739627822
KKR,103.28,113.7075,102.05,127.0124,129.0052,4.7295714285714245,594752226.6,2.358908820746544,37.19289710532717,-0.10965517241379308,-0.23251839191498846,-0.1312978383379595,Financial Services,,-0.2372881355932203,16722880000.0,0.24659437291557104,0.08687174944371162,5086340000.0,0.3041545475420502,0.053188135379341174,31767124000.0,10.608352070218487,5.718466070916015,42.54289087168342,0.62303,True,,-0.14893413220731788,-0.17869315559944518
KLAC,1355.54,1449.29,1324.39,1320.6717999999998,1029.18265,85.82925714285713,1982136980.2225003,1.5351809135065335,19.949213098296273,-0.1613470021592125,0.0022847425043439618,0.10466954608426371,Technology,,0.06372549019607837,12744612000.0,0.6144514073686759,-0.0017497170368805381,4377385000.0,0.34346945987841765,0.02457719648863842,3657354000.0,0.6369364371808471,13.975127717972113,31.65477274864216,0.94265,True,,0.08703325221490532,0.10624300495592284
KMB,100.77,101.54,98.76,101.8158,120.99842500000001,2.3403357142857146,690259829.9319999,0.8493412807465779,33.020937188434694,0.0012917329093800056,0.027531355154481574,0.007196401799100416,Consumer Defensive,,-0.11764705882352938,18081000000.0,0.3597590361445783,0.010525666209968587,1672000000.0,0.0924727614623085,0.049992722207804756,6687000000.0,1.9848620145536269,1.8497244674520215,11.91210117494048,0.85234,True,,-0.010439892070257972,-0.07919057337188125
KMI,30.32,30.385,29.6609,27.6598,27.441149999999997,0.7128500000000003,461743792.7285,1.0659087544080053,0.8177952240758913,0.024670496789455987,0.08673835125448037,0.16975308641975295,Energy,,0.40625,16416000000.0,0.516642547033285,-0.015319158489327966,2757000000.0,0.16794590643274854,0.04087185569033861,32399000000.0,4.5182693033383945,4.109084444444444,13.925307699843351,0.68915004,True,,0.15211679255039456,0.016941156385095246
